"Category","Stratum","Raw_N","Raw_Percent","Weighted_Percent","Weighted_SE","Cohort"
"Obesity/BMI","Normal (18.5-24.9)",71,9.39153439153439,9.66780255692185,1.50301353805492,"Significant Fibrosis (APRI > 0.5)"
"Obesity/BMI","Obese (>=30.0)",438,57.936507936508,60.1555619664456,2.6297354349207,"Significant Fibrosis (APRI > 0.5)"
"Obesity/BMI","Overweight (25.0-29.9)",246,32.5396825396825,30.0940129451095,2.3408806854263,"Significant Fibrosis (APRI > 0.5)"
"Obesity/BMI","Underweight (<18.5)",1,0.132275132275132,0.0826225315229746,0.0826334756909815,"Significant Fibrosis (APRI > 0.5)"
"Obesity/BMI","Missing / Unknown",4,0.526315789473684,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Type 2 DM","Diabetes",296,38.9473684210526,33.9915057073322,2.11841178594262,"Significant Fibrosis (APRI > 0.5)"
"Type 2 DM","No Diabetes",464,61.0526315789474,66.0084942926677,2.11841178594262,"Significant Fibrosis (APRI > 0.5)"
"Type 2 DM","Missing / Unknown",0,0,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Hypertension","Hypertension",485,63.8157894736842,62.6669160052848,2.17776858150296,"Significant Fibrosis (APRI > 0.5)"
"Hypertension","No Hypertension",275,36.1842105263158,37.3330839947152,2.17776858150296,"Significant Fibrosis (APRI > 0.5)"
"Hypertension","Missing / Unknown",0,0,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Dyslipidemia","Dyslipidemia",586,77.1052631578947,78.8296441988975,1.92117013842628,"Significant Fibrosis (APRI > 0.5)"
"Dyslipidemia","No Dyslipidemia",174,22.8947368421053,21.1703558011023,1.92117013842628,"Significant Fibrosis (APRI > 0.5)"
"Dyslipidemia","Missing / Unknown",0,0,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Diet (Caloric Intake)","High Calorie (Tertile 3)",273,38.288920056101,42.0788683333878,2.68218840125967,"Significant Fibrosis (APRI > 0.5)"
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",226,31.6970546984572,28.5471830805563,2.66528933760033,"Significant Fibrosis (APRI > 0.5)"
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",214,30.0140252454418,29.3739485860558,2.33339431758246,"Significant Fibrosis (APRI > 0.5)"
"Diet (Caloric Intake)","Missing / Unknown",47,6.18421052631579,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Physical Activity","Active",377,53.6273115220484,52.5337766323515,2.46459754341509,"Significant Fibrosis (APRI > 0.5)"
"Physical Activity","Inactive",326,46.3726884779516,47.4662233676485,2.46459754341509,"Significant Fibrosis (APRI > 0.5)"
"Physical Activity","Missing / Unknown",57,7.5,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Smoking Status","Current Smoker",151,21.6022889842632,19.9590676357166,1.88902995983369,"Significant Fibrosis (APRI > 0.5)"
"Smoking Status","Former Smoker",216,30.9012875536481,33.7447360962564,2.39527725100859,"Significant Fibrosis (APRI > 0.5)"
"Smoking Status","Never Smoker",332,47.4964234620887,46.296196268027,2.46954084036166,"Significant Fibrosis (APRI > 0.5)"
"Smoking Status","Missing / Unknown",61,8.02631578947368,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Mortality (1999-2018 cohorts)","Alive",442,74.1610738255034,77.9974534114027,2.01435207102243,"Significant Fibrosis (APRI > 0.5)"
"Mortality (1999-2018 cohorts)","Deceased",154,25.8389261744966,22.0025465885972,2.01435207102243,"Significant Fibrosis (APRI > 0.5)"
"Mortality (1999-2018 cohorts)","Missing / Unknown",0,0,NA,NA,"Significant Fibrosis (APRI > 0.5)"
"Obesity/BMI","Normal (18.5-24.9)",28,15.9090909090909,19.5392845505045,4.29622834178096,"Advanced Fibrosis (APRI > 1.0)"
"Obesity/BMI","Obese (>=30.0)",80,45.4545454545455,43.8157160154608,5.41640160949728,"Advanced Fibrosis (APRI > 1.0)"
"Obesity/BMI","Overweight (25.0-29.9)",68,38.6363636363636,36.6449994340347,4.75444909868149,"Advanced Fibrosis (APRI > 1.0)"
"Obesity/BMI","Missing / Unknown",1,0.564971751412429,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Type 2 DM","Diabetes",62,35.0282485875706,30.7160470434852,3.7749573156381,"Advanced Fibrosis (APRI > 1.0)"
"Type 2 DM","No Diabetes",115,64.9717514124294,69.2839529565149,3.7749573156381,"Advanced Fibrosis (APRI > 1.0)"
"Type 2 DM","Missing / Unknown",0,0,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Hypertension","Hypertension",103,58.1920903954802,56.8326394920469,5.04214415396938,"Advanced Fibrosis (APRI > 1.0)"
"Hypertension","No Hypertension",74,41.8079096045198,43.1673605079531,5.04214415396938,"Advanced Fibrosis (APRI > 1.0)"
"Hypertension","Missing / Unknown",0,0,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Dyslipidemia","Dyslipidemia",127,71.7514124293785,70.0916047609842,4.32358075231358,"Advanced Fibrosis (APRI > 1.0)"
"Dyslipidemia","No Dyslipidemia",50,28.2485875706215,29.9083952390158,4.32358075231358,"Advanced Fibrosis (APRI > 1.0)"
"Dyslipidemia","Missing / Unknown",0,0,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Diet (Caloric Intake)","High Calorie (Tertile 3)",68,40,42.8348156673906,5.07695381808359,"Advanced Fibrosis (APRI > 1.0)"
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",54,31.7647058823529,32.5141563482323,5.0017286317065,"Advanced Fibrosis (APRI > 1.0)"
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",48,28.2352941176471,24.6510279843771,3.52134848636214,"Advanced Fibrosis (APRI > 1.0)"
"Diet (Caloric Intake)","Missing / Unknown",7,3.95480225988701,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Physical Activity","Active",91,55.4878048780488,46.5491033694547,5.28780460753037,"Advanced Fibrosis (APRI > 1.0)"
"Physical Activity","Inactive",73,44.5121951219512,53.4508966305453,5.28780460753037,"Advanced Fibrosis (APRI > 1.0)"
"Physical Activity","Missing / Unknown",13,7.34463276836158,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Smoking Status","Current Smoker",53,33.974358974359,36.7175483786893,5.29666051576233,"Advanced Fibrosis (APRI > 1.0)"
"Smoking Status","Former Smoker",40,25.6410256410256,27.6707422441586,4.74073221031534,"Advanced Fibrosis (APRI > 1.0)"
"Smoking Status","Never Smoker",63,40.3846153846154,35.611709377152,5.19721322048436,"Advanced Fibrosis (APRI > 1.0)"
"Smoking Status","Missing / Unknown",21,11.864406779661,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Mortality (1999-2018 cohorts)","Alive",92,66.6666666666667,66.3894339598228,5.62386633659138,"Advanced Fibrosis (APRI > 1.0)"
"Mortality (1999-2018 cohorts)","Deceased",46,33.3333333333333,33.6105660401772,5.62386633659138,"Advanced Fibrosis (APRI > 1.0)"
"Mortality (1999-2018 cohorts)","Missing / Unknown",0,0,NA,NA,"Advanced Fibrosis (APRI > 1.0)"
"Obesity/BMI","Normal (18.5-24.9)",5,10.6382978723404,17.9595095157604,8.86857322121412,"Cirrhosis (APRI >= 2.0)"
"Obesity/BMI","Obese (>=30.0)",21,44.6808510638298,42.4974906084037,10.0254646015474,"Cirrhosis (APRI >= 2.0)"
"Obesity/BMI","Overweight (25.0-29.9)",21,44.6808510638298,39.5429998758359,9.72988617846573,"Cirrhosis (APRI >= 2.0)"
"Obesity/BMI","Missing / Unknown",1,2.08333333333333,NA,NA,"Cirrhosis (APRI >= 2.0)"
"Type 2 DM","Diabetes",16,33.3333333333333,27.3213614191127,6.94378944323276,"Cirrhosis (APRI >= 2.0)"
"Type 2 DM","No Diabetes",32,66.6666666666667,72.6786385808872,6.94378944323276,"Cirrhosis (APRI >= 2.0)"
"Type 2 DM","Missing / Unknown",0,0,NA,NA,"Cirrhosis (APRI >= 2.0)"
"Hypertension","Hypertension",27,56.25,58.2010114444499,9.69186959141199,"Cirrhosis (APRI >= 2.0)"
"Hypertension","No Hypertension",21,43.75,41.7989885555501,9.69186959141199,"Cirrhosis (APRI >= 2.0)"
"Hypertension","Missing / Unknown",0,0,NA,NA,"Cirrhosis (APRI >= 2.0)"
"Dyslipidemia","Dyslipidemia",30,62.5,62.3183519022183,8.83640921309059,"Cirrhosis (APRI >= 2.0)"
"Dyslipidemia","No Dyslipidemia",18,37.5,37.6816480977817,8.83640921309059,"Cirrhosis (APRI >= 2.0)"
"Dyslipidemia","Missing / Unknown",0,0,NA,NA,"Cirrhosis (APRI >= 2.0)"
"Diet (Caloric Intake)","High Calorie (Tertile 3)",25,54.3478260869565,58.1530393802828,10.1462482460665,"Cirrhosis (APRI >= 2.0)"
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",10,21.7391304347826,23.6306716653335,9.84844362906314,"Cirrhosis (APRI >= 2.0)"
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",11,23.9130434782609,18.2162889543837,6.31895384093967,"Cirrhosis (APRI >= 2.0)"
"Diet (Caloric Intake)","Missing / Unknown",2,4.16666666666667,NA,NA,"Cirrhosis (APRI >= 2.0)"
"Physical Activity","Active",19,43.1818181818182,32.315198205627,8.4708013347949,"Cirrhosis (APRI >= 2.0)"
"Physical Activity","Inactive",25,56.8181818181818,67.684801794373,8.4708013347949,"Cirrhosis (APRI >= 2.0)"
"Physical Activity","Missing / Unknown",4,8.33333333333333,NA,NA,"Cirrhosis (APRI >= 2.0)"
"Smoking Status","Current Smoker",16,37.2093023255814,32.8919721781047,9.20050432715282,"Cirrhosis (APRI >= 2.0)"
"Smoking Status","Former Smoker",13,30.2325581395349,24.260651389799,7.62154248299571,"Cirrhosis (APRI >= 2.0)"
