"Category","Stratum","Raw_N","Raw_Percent","Weighted_Percent","Weighted_SE","Cohort"
"Obesity/BMI","Normal (18.5-24.9)",139,5.41910331384016,4.41666031655012,0.735819070211382,"Gold MASLD (CAP >= 285 + CMR)"
"Obesity/BMI","Obese (>=30.0)",1736,67.6803118908382,69.2487065205213,1.67062288694981,"Gold MASLD (CAP >= 285 + CMR)"
"Obesity/BMI","Overweight (25.0-29.9)",688,26.82261208577,26.2924379170286,1.38016177227933,"Gold MASLD (CAP >= 285 + CMR)"
"Obesity/BMI","Underweight (<18.5)",2,0.0779727095516569,0.0421952458999275,0.0422806649339912,"Gold MASLD (CAP >= 285 + CMR)"
"Obesity/BMI","Missing / Unknown",23,0.8887171561051,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Type 2 DM","Diabetes",899,34.7641144624903,29.4123031962208,1.47882491027258,"Gold MASLD (CAP >= 285 + CMR)"
"Type 2 DM","No Diabetes",1687,65.2358855375097,70.5876968037794,1.47882491027258,"Gold MASLD (CAP >= 285 + CMR)"
"Type 2 DM","Missing / Unknown",2,0.0772797527047913,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Hypertension","Hypertension",1265,48.9172467130704,43.0741022632546,2.05385700070841,"Gold MASLD (CAP >= 285 + CMR)"
"Hypertension","No Hypertension",1321,51.0827532869296,56.9258977367454,2.05385700070841,"Gold MASLD (CAP >= 285 + CMR)"
"Hypertension","Missing / Unknown",2,0.0772797527047913,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Dyslipidemia","Dyslipidemia",2075,80.2087359876305,81.4086435376163,1.32088828094202,"Gold MASLD (CAP >= 285 + CMR)"
"Dyslipidemia","No Dyslipidemia",512,19.7912640123695,18.5913564623838,1.32088828094202,"Gold MASLD (CAP >= 285 + CMR)"
"Dyslipidemia","Missing / Unknown",1,0.0386398763523957,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Diet (Caloric Intake)","High Calorie (Tertile 3)",790,34.8478164975739,40.1772547175843,1.34938220721708,"Gold MASLD (CAP >= 285 + CMR)"
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",727,32.0688134097927,28.0620545962268,1.27367019977661,"Gold MASLD (CAP >= 285 + CMR)"
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",750,33.0833700926334,31.7606906861888,0.897894720337247,"Gold MASLD (CAP >= 285 + CMR)"
"Diet (Caloric Intake)","Missing / Unknown",321,12.403400309119,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Physical Activity","Active",992,38.3307573415765,50.3012954071826,1.76161821549215,"Gold MASLD (CAP >= 285 + CMR)"
"Physical Activity","Inactive",1596,61.6692426584235,49.6987045928174,1.76161821549215,"Gold MASLD (CAP >= 285 + CMR)"
"Physical Activity","Missing / Unknown",0,0,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Smoking Status","Current Smoker",407,15.7325086973328,14.7793588352108,1.23837444336077,"Gold MASLD (CAP >= 285 + CMR)"
"Smoking Status","Former Smoker",734,28.3726323927329,28.5175751698709,1.37341569341564,"Gold MASLD (CAP >= 285 + CMR)"
"Smoking Status","Never Smoker",1446,55.8948589099343,56.7030659949185,1.63083599936296,"Gold MASLD (CAP >= 285 + CMR)"
"Smoking Status","Missing / Unknown",1,0.0386398763523957,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Mortality (2017-2020 cohort only)","No Cases",0,0,NA,NA,"Gold MASLD (CAP >= 285 + CMR)"
"Obesity/BMI","Normal (18.5-24.9)",18,4.35835351089588,2.69094407391118,0.763444060189057,"Gold MASH (FAST >= 0.35)"
"Obesity/BMI","Obese (>=30.0)",317,76.7554479418886,79.9697526819048,2.58982848501257,"Gold MASH (FAST >= 0.35)"
"Obesity/BMI","Overweight (25.0-29.9)",77,18.6440677966102,17.0878143108963,2.30895653772519,"Gold MASH (FAST >= 0.35)"
"Obesity/BMI","Underweight (<18.5)",1,0.242130750605327,0.251488933287771,0.251000821938389,"Gold MASH (FAST >= 0.35)"
"Obesity/BMI","Missing / Unknown",4,0.959232613908873,NA,NA,"Gold MASH (FAST >= 0.35)"
"Type 2 DM","Diabetes",198,47.4820143884892,40.5072435860003,3.44737412281778,"Gold MASH (FAST >= 0.35)"
"Type 2 DM","No Diabetes",219,52.5179856115108,59.4927564139998,3.44737412281778,"Gold MASH (FAST >= 0.35)"
"Type 2 DM","Missing / Unknown",0,0,NA,NA,"Gold MASH (FAST >= 0.35)"
"Hypertension","Hypertension",229,54.916067146283,46.5330840361266,3.64084418716467,"Gold MASH (FAST >= 0.35)"
"Hypertension","No Hypertension",188,45.083932853717,53.4669159638735,3.64084418716466,"Gold MASH (FAST >= 0.35)"
"Hypertension","Missing / Unknown",0,0,NA,NA,"Gold MASH (FAST >= 0.35)"
"Dyslipidemia","Dyslipidemia",350,83.9328537170264,86.4677600029094,2.1203693102041,"Gold MASH (FAST >= 0.35)"
"Dyslipidemia","No Dyslipidemia",67,16.0671462829736,13.5322399970908,2.1203693102041,"Gold MASH (FAST >= 0.35)"
"Dyslipidemia","Missing / Unknown",0,0,NA,NA,"Gold MASH (FAST >= 0.35)"
