"Category","Stratum","Raw_N","Raw_Percent","Weighted_Percent","Weighted_SE"
"Obesity/BMI","Normal (18.5-24.9)",47,12.6344086021505,15.7566900606226,2.95142401192925
"Obesity/BMI","Obese (>=30.0)",194,52.1505376344086,49.9932356411902,3.71800333888369
"Obesity/BMI","Overweight (25.0-29.9)",131,35.2150537634409,34.2500742981872,2.9871828681339
"Obesity/BMI","Missing / Unknown",6,1.58730158730159,NA,NA
"Type 2 DM","Diabetes",173,45.7671957671958,37.9782350248199,3.23001722938559
"Type 2 DM","No Diabetes",205,54.2328042328042,62.0217649751801,3.23001722938559
"Type 2 DM","Missing / Unknown",0,0,NA,NA
"Hypertension","Hypertension",286,75.6613756613757,75.0589888422772,3.11616902477582
"Hypertension","No Hypertension",92,24.3386243386243,24.9410111577228,3.11616902477582
"Hypertension","Missing / Unknown",0,0,NA,NA
"Dyslipidemia","Dyslipidemia",281,74.3386243386243,74.9995215886862,2.9782242886976
"Dyslipidemia","No Dyslipidemia",97,25.6613756613757,25.0004784113138,2.9782242886976
"Dyslipidemia","Missing / Unknown",0,0,NA,NA
"Diet (Caloric Intake)","High Calorie (Tertile 3)",104,28.9693593314763,32.0818828539318,3.24623595006196
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",147,40.9470752089136,37.5485875270817,3.45973330455745
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",108,30.08356545961,30.3695296189865,2.65974967242029
"Diet (Caloric Intake)","Missing / Unknown",19,5.02645502645503,NA,NA
"Physical Activity","Active",164,49.1017964071856,46.2136094313259,3.29127970344563
"Physical Activity","Inactive",170,50.8982035928144,53.7863905686742,3.29127970344563
"Physical Activity","Missing / Unknown",44,11.6402116402116,NA,NA
"Smoking Status","Current Smoker",59,16.71388101983,16.2794415383206,2.75138479581916
"Smoking Status","Former Smoker",147,41.643059490085,44.8431590415059,3.5588442041128
"Smoking Status","Never Smoker",147,41.643059490085,38.8773994201735,3.57884517867592
"Smoking Status","Missing / Unknown",25,6.61375661375661,NA,NA
"Mortality (1999-2018 cohorts)","Alive",129,46.9090909090909,49.3159235561368,3.95500351385123
"Mortality (1999-2018 cohorts)","Deceased",146,53.0909090909091,50.6840764438632,3.95500351385124
"Mortality (1999-2018 cohorts)","Missing / Unknown",0,0,NA,NA
