"Category","Stratum","Raw_N","Raw_Percent","Weighted_Percent","Weighted_SE"
"Obesity/BMI","Normal (18.5-24.9)",409,4.74202898550725,4.00377841497802,0.286400261649457
"Obesity/BMI","Obese (>=30.0)",5862,67.9652173913043,71.2973632120042,0.671070789414944
"Obesity/BMI","Overweight (25.0-29.9)",2350,27.2463768115942,24.658879471126,0.60899867324872
"Obesity/BMI","Underweight (<18.5)",4,0.0463768115942029,0.0399789018912996,0.0204524136071665
"Obesity/BMI","Missing / Unknown",48,0.553441715669319,NA,NA
"Type 2 DM","Diabetes",2817,32.4801106883431,26.9665162267663,0.598938082266437
"Type 2 DM","No Diabetes",5856,67.5198893116569,73.0334837732329,0.598938082266439
"Type 2 DM","Missing / Unknown",0,0,NA,NA
"Hypertension","Hypertension",5315,61.3104164263467,59.3091161872063,0.82236933960733
"Hypertension","No Hypertension",3354,38.6895835736532,40.690883812793,0.822369339607329
"Hypertension","Missing / Unknown",4,0.0461201429724432,NA,NA
"Dyslipidemia","Dyslipidemia",6832,78.773204196933,79.5550252238226,0.601897668007772
"Dyslipidemia","No Dyslipidemia",1841,21.226795803067,20.4449747761767,0.601897668007772
"Dyslipidemia","Missing / Unknown",0,0,NA,NA
"Diet (Caloric Intake)","High Calorie (Tertile 3)",2744,33.3373830640262,38.4731631116168,0.698908160843068
"Diet (Caloric Intake)","Low Calorie (Tertile 1)",2744,33.3373830640262,28.0224215966808,0.670460412910954
"Diet (Caloric Intake)","Medium Calorie (Tertile 2)",2743,33.3252338719475,33.5044152917017,0.657403598779784
"Diet (Caloric Intake)","Missing / Unknown",442,5.09627579845498,NA,NA
"Physical Activity","Active",3790,49.3361103879198,51.5546276509423,0.988743048375852
"Physical Activity","Inactive",3892,50.6638896120802,48.4453723490575,0.988743048375853
"Physical Activity","Missing / Unknown",991,11.4262654214228,NA,NA
"Smoking Status","Current Smoker",1289,16.1549066299035,16.2503137728153,0.583384829752528
"Smoking Status","Former Smoker",2263,28.3619501190625,28.7714231097677,0.746459048335092
"Smoking Status","Never Smoker",4427,55.483143251034,54.9782631174164,0.867909490690052
"Smoking Status","Missing / Unknown",694,8.0018448057189,NA,NA
"Mortality (1999-2018 cohorts)","Alive",5040,79.8479087452472,84.3771559930859,0.588801882172239
"Mortality (1999-2018 cohorts)","Deceased",1272,20.1520912547529,15.6228440069141,0.588801882172239
"Mortality (1999-2018 cohorts)","Missing / Unknown",0,0,NA,NA
