"Comorbidity_Group","Category","Raw_N","Raw_Pct","Weighted_Prevalence_Pct","Weighted_Prevalence_SE","Weighted_Population_Size_N","Weighted_Population_Size_SE"
"Obesity/BMI (3 categories)","Missing",48,0.553441715669319,0.425690646526074,0.090559856942509,3100201.60430712,670786.945571444
"Obesity/BMI (3 categories)","Normal/Underweight (BMI < 25)",413,4.76190476190476,4.02654342020319,0.283498917671847,29324337.9270763,2102272.09063629
"Obesity/BMI (3 categories)","Obese (BMI >= 30)",5862,67.5890695261155,70.9938570055909,0.675300040056634,517031020.485911,14072074.3851676
"Obesity/BMI (3 categories)","Overweight (25 <= BMI < 30)",2350,27.0955839963104,24.5539089276792,0.606153405611558,178820156.070635,5741044.74719952
"Obesity/BMI (Binary)","Missing",48,0.553441715669319,0.425690646526074,0.090559856942509,3100201.60430712,670786.945571444
"Obesity/BMI (Binary)","Non-Obese",2763,31.8574887582152,28.5804523478824,0.667106788419995,208144493.997711,6355924.75846787
"Obesity/BMI (Binary)","Obese",5862,67.5890695261155,70.9938570055909,0.675300040056634,517031020.485911,14072074.3851676
"Type 2 DM","Diabetes",2716,31.3155770782889,26.0943270798419,0.58175674971296,190038647.399046,5940202.57194037
"Type 2 DM","No Diabetes",5957,68.684422921711,73.9056729201575,0.581756749712961,538237068.688883,13994492.338337
"Hypertension","Hypertension",4285,49.4062031592298,47.4086994898595,0.84326815278441,345266045.697751,10746142.4930952
"Hypertension","Missing",25,0.28825089357777,0.192645409120969,0.0507279916094545,1402989.73278627,368836.160792102
"Hypertension","No Hypertension",4363,50.3055459471924,52.3986551010189,0.844038389502384,381606680.657393,10625184.4917666
"Dyslipidemia (High Cholesterol)","High Cholesterol",3726,42.9609131788309,43.0051207371701,0.820462416694547,313195851.003105,10141708.5497991
"Dyslipidemia (High Cholesterol)","Missing",1107,12.7637495676237,11.1066836747486,0.459612250527791,80887280.0658972,3632261.87726692
"Dyslipidemia (High Cholesterol)","No High Cholesterol",3840,44.2753372535455,45.8881955880807,0.771469804282195,334192585.018926,9624774.93811208
"Diet Quality","Excellent/Very Good",1220,14.0666436065952,14.3002337162764,0.652150363049908,104145129.49946,5741899.24494534
"Diet Quality","Fair/Poor",2237,25.7926899573389,24.3167920453549,0.722652482794825,177093291.397922,6620545.00613117
"Diet Quality","Good",2363,27.2454744609708,28.2582793205205,0.809317723807721,205798186.07565,7781503.46825801
"Diet Quality","Missing",2853,32.8951919750951,33.1246949178474,1.09880030879018,241239109.114897,9456402.3360179
"Physical Activity","Active",5322,61.3628502248357,66.1020442920819,0.766339569751476,481405136.416922,12354442.2370235
"Physical Activity","Inactive",3351,38.6371497751643,33.8979557079177,0.766339569751477,246870579.671008,8541901.99634696
"Smoking Status","Current Smoker",1523,17.5602444367578,17.8315736813154,0.575609944882502,129863020.917347,5015636.35863345
"Smoking Status","Former Smoker",2714,31.2925170068027,31.6288084356856,0.728919156120387,230344931.125071,8398082.34298186
"Smoking Status","Missing",9,0.103770321687997,0.0791747791830233,0.0311291334889786,576610.690056204,228375.674949097
"Smoking Status","Never Smoker",4427,51.0434682347515,50.4604431038154,0.834958454948866,367491153.355455,10122036.7921523
